기준년도,구,업종,3월(억원),4월(억원),5월(억원),6월(억원),7월(억원)
2019년,유성구,학원,42.7,39.8,40.7,41.8,46.4
2019년,유성구,회비,,0.1,,,
2019년,유성구,휴게음식점,129.1,131.7,137.3,130.2,131.4
2019년,대덕구,가구,4.6,3.8,4.5,2.5,4.3
2019년,대덕구,건축관련업,41.8,42.6,43.6,43.6,47.8
2019년,대덕구,기타유통,0.1,0.5,0.6,0.4,0.2
2019년,대덕구,기타제조/도매,12.6,15.5,14.6,11.6,13.9
2019년,대덕구,레저/스포츠,6.6,7,7.1,4.9,3.6
2019년,대덕구,문화/취미,15.4,7.8,9.5,7.3,6.7
2019년,대덕구,미용,13,13.3,12.7,12.4,12.8
2019년,대덕구,소매,120.4,116.7,128.2,124.4,118.6
2019년,대덕구,수리서비스,0.1,,,,0.2
2019년,대덕구,숙박,9,9.1,9.3,9.4,9.3
2019년,대덕구,신변잡화,1.8,1.9,2.2,1.7,1.9
2019년,대덕구,연료판매,0.1,,,,0.1
2019년,대덕구,용역서비스,3.2,2.5,3.1,2.2,2.2
2019년,대덕구,운송기구판매,,,,0.4,2.1
2019년,대덕구,유아교육기관,9.3,8.4,8.3,9.5,8.9
2019년,대덕구,유흥,8.9,9,9.5,9.6,9.3
2019년,대덕구,음식료품,64.8,63.4,64.9,61.2,56.2
2019년,대덕구,의료기관/제약,54.4,60.7,61,50.3,56.7
2019년,대덕구,의류,6.8,6.6,5.9,5.1,4
2019년,대덕구,일반음식점,239.4,218.9,239.2,218.9,210.5
2019년,대덕구,자동차정비/유지,67.2,72.1,77,73.4,80.4
2019년,대덕구,전자제품,7.3,7.8,9.7,8.6,9.2
2019년,대덕구,주방용품,0.5,0.7,1.7,1.6,1.7
2019년,대덕구,주유,66.8,68.7,75.9,71.9,76.2
2019년,대덕구,직물/침구류,0.4,0.2,0.5,0.2,0.2
2019년,대덕구,학교,,,,,0.1
2019년,대덕구,학습자재,1.1,0.7,1.2,0.5,0.7
2019년,대덕구,학원,6.7,6.4,6.4,5.9,6
